"","title","category","impact_story","program_description"
"1","Help a poor patient fight cancer by Charutar Arogya Mandal","health","Every monthly donation helps more patients like Ravjibhai
Sixty-year-old Ravjibhai Parmar is a farm laborer, and a contributing member supporting a family of 12. He was diagnosed with cancer in the left Pyriform Fossa.
 Not in a position to afford Chemotherapy, he resigned to live with this dreaded disease. His health started deteriorating slowly till he could not work anymore. A visit from the Patient Support Group at Charutar Arogya Mandal gave him hope. He was counseled to undergo chemotherapy with the assurance that treatment cost would be supported by the hospital. 
 Ravjibhai has received the treatment that he deserves although such is the nature of the disease that he will never get completely cured.
","Charutar Arogya Mandal targets to provide comprehensive and personalized health care with commitment at an affordable cost to patient's satisfaction. They seek to provide the best medical care to the rural community and facilities for medical education to the people of Anand and Kheda districts with a minimal amount. Several measures have been taken to make health-care affordable for the poor such as free consultation fee for outdoor consultations, free treatment to women and children belonging to BPL family etc. All these measures benefit over 40% of the patients admitted to the hospital and many outdoor patients. What started with a general hospital with 136 beds is now an institution that includes a Medical Council of India recognized as a medical college, a 720-bed hospital, an institute of post-graduate studies, a school of nursing, a college of physiotherapy, an institute of medical technology, a cardiac center and a cancer center. Charutar Arogya Mandal has been conferred with many awards, one of them being the Guidestar India by the Guidestar India Gold Award in 2016. Despite the challenges faced in sustaining the institution, CAM constantly endeavors to innovate and deliver better healthcare to all.... Read more"
"2","Help a poor cancer patient with radiation therapy by Charutar Arogya Mandal","health","You can help a poor child with cancer get the treatment they need
When Sandip was 8 years old, he was diagnosed with Hodgkins Lymphoma, a cancer of the immune system.
His father had passed away and the only breadwinner of the family was his mother. She worked as a daily wage labourer on a farm. Her earning was not even enough to scrape together food for both of them. 
The doctors said that Sandip could make a complete recovery. But there was no way for his mother to put together the money for his treatment. She was utterly devasted at the thought that she might lose her only ray of hope because she could not afford to pay for his treatment.
Charutar Arogya Mandal discovered her case and took full responsibility of Sandip’s treatment. They paid for his radiation and chemotherapy until he was completely cured. Sandip and his mother now have a future to look forward to all thanks to the donors who helped them.
Donate now to help an underprivileged child like Sandip fight cancer. You can give with confidence because every program on our platform is GIVEASSURED. Your donation will pay for the child’s treatment.
","Charutar Arogya Mandal targets to provide comprehensive and personalized health care with commitment at an affordable cost to patient's satisfaction. They seek to provide the best medical care to the rural community and facilities for medical education to the people of Anand and Kheda districts with a minimal amount. Several measures have been taken to make health-care affordable for the poor such as free consultation fee for outdoor consultations, free treatment to women and children belonging to BPL family etc. All these measures benefit over 40% of the patients admitted to the hospital and many outdoor patients. What started with a general hospital with 136 beds is now an institution that includes a Medical Council of India recognized as a medical college, a 720-bed hospital, an institute of post-graduate studies, a school of nursing, a college of physiotherapy, an institute of medical technology, a cardiac center and a cancer center. Charutar Arogya Mandal has been conferred with many awards, one of them being the Guidestar India by the Guidestar India Gold Award in 2016. Despite the challenges faced in sustaining the institution, CAM constantly endeavors to innovate and deliver better healthcare to all.... Read more"
"3","Help rural children get access to pediatric care by J Watumull Global Hospital & Research Centre","health","Every monthly donation helps children like Mukesh access pediatric care
Baby Mukesh was born with hydrocephalus. He lives with his parents in Panchdevla, Sirohi. His father Kalu Ram is a daily wage construction laborer. The parents could not get Mukesh the treatment he needed because of their financial constraints.
 During a regular visit, a Global Hospital & Research Centre (GHRC) field worker identified him and advised his parents to bring him to a screening conducted near his village. Mukesh was selected for surgery and he was operated on successfully by Dr.Bhatia at Global Hospital.
 The in-house pediatrician Dr. Dilip Gupta took the responsibility of taking care of Mukesh throughout his hospital stay and monitored his improvement. The presence of a pediatrician was instrumental in his treatment and Mukesh has recovered because of his care.
","J Watumull Global Hospital & Research Centre (GHRC), considered as a haven for healing, was commissioned with a view to deliver healthcare to all, irrespective of the patient's economic or social standing. Based at Mt Abu in the Sirohi district, the founders initiated their services with only four hospitals with bed strength of 457 serving 750,000 people. Now, with over 800 staff members their annual services claim more than 136,000 free consultations at hospitals and fields, over 3500 patients and at least 1500 minor and major operations.  Their noble objective shines brightly with the fact that in 25 years, no patient has ever been turned away for want of money to pay his or her bill. GHRC was awarded the Office of the Commissioner of Customs Jodhpur Certification for offering services to the community on free or no profit-no loss basis. Additionally, they achieved the Rajasthan Government's appreciation of Rastriya Bal Swasthya Karyakram for providing advanced treatment to needy sick children.  GHRCs tremendous efforts have built a strong bridge to realizing their mission to provide world-class complete healthcare services, responsibly and with a human touch at affordable prices.... Read more"
"4","Restore eyesight by sponsoring a cataract surgery by Sankara Eye Hospital, Pammal","health","Every monthly donation helps more patients like Chengiah regain sight
Chengiah, a handicapped cleaner with the Tirupati Municipal corporation, developed blurred vision in both his eyes and began to lose vision. As the sole breadwinner of his family, going blind meant that he would no longer be able to earn a living and his family would have to suffer even for sustenance. He was referred to an eye camp where he was diagnosed with cataracts.
 Through Pammal Sankara Eye Hospital's 'Kannoli-Vision Saver Project', he had a successful cataract surgery with Intraocular lenses. He was provided with free surgery, accommodation, medicines, food, dark glasses and transport.
 Today, Chengiah's vision is completely restored and he continues to work and provide for his family. The timely assistance has been a new lease of life for his family.
","Sankara Eye Hospital is an ISO 9001 certified, state of the art multi-specialty eye hospital located at Pammal, a well-developed suburb of Chennai City.This hospital has been functioning as an exclusive eye care center with a singular vision of providing high-quality care to all segments of society, rich or poor. The Hospital offers nine specialty services (Cataract, Refractive, Cornea, Glaucoma, Retina, Orbit & Oculoplasty, Uvea, Neuro-Ophthal, Pediatric Ophthal) and support services like Contact Lens, Prosthetic eye, and Low Vision Clinic.This hospital runs a charitable eye care program for the poor under the name 'Kannoli Vision Saver' project. State-of-the-art outpatient facilities exist for examination of all eye disorders and a team of highly skilled Optometry technicians and Ophthalmologists provide personalized and professionally competent care. The three-storied hospital has 140 beds, 20 independent bath-attached rooms, and a modern hygienic kitchen to cater nutritious food for the patients.The hospital has four sophisticated and fully equipped operation theaters and a team of very highly committed and talented staff apart from 12 senior eye surgeons. The hospital currently carries out an average of 60 surgeries every day and has performed over 250,000 vision-restoring surgeries till now.... Read more"
"5","Help a differently abled child get independent with therapy by Adarsh Charitable Trust","differently abled","Jerin can now walk thanks to someone like you!
Jerin is a 16-year-old boy from Kochi who suffers from Cerebral Palsy. His father is a daily wage worker and his mother is a housewife. 
They barely had enough money to pay for their necessities. They had absolutely nothing to help Jerin with. The family was distraught over his condition as they thought that it would be the end of the road for him. 
He was found by Adarsh Charitable Trust and they took him under their care. He was unable to walk and could barely move any of his muscles. To correct this, he was given orthopedic surgeries followed by regular physiotherapy. He slowly began to gain control over his physical functions. 
Jerin has been under the care of Adarsh Charitable Trust for the past 12 years and his health has seen great improvements. Over time, he was even able to start walking with the help of a stick! What seemed like an impossible dream to Jerin and his family is now a reality. 
","With a mission to provide rehabilitation measures, Adarsh Foundation was started in the year 1998 in Kerala and is currently under the chairmanship of Shri. K P Padmakumar. Its dedication to its mission helped identify hundreds of children with disabilities from their birth.  The foundation has 3 centers with 15 physiotherapists and 18 special educators. Apart from that, it caters to about 55% children who are below 3 years and fall below the poverty line. Adarsh foundation has a full-time staff, special educators, and physiotherapists who work with equal dedication in taking the foundation closer to its mission day by day.  It has gone beyond in reaching out to those who need their support and help. Till date, with the support from the foundation, more than 200 children have been able to sculpt their way into the mainstream. Adarsh foundation has a staunch belief that rehabilitation is possible and disability can be specifically identified and treated with appropriate therapy and training. This makes it an institute of excellence in the rehabilitation of children with challenges.... Read more"
"6","Help a differently abled child go to school by Adarsh Charitable Trust","differently abled","Nadirsha can keep going to school now!
Life had never been too kind to Nadirsha. When he was 20 years old, he had to move using a wheelchair. His father looked after his every need and used to take him to school, which was their only hope for him to have a better life. 
He came from a poor family. Many days, his father had to work and could not afford to take him to school. Nadirsha had low attendance because of this. His future started to look uncertain but there was nothing they could do about it. 
Realising this, Adarsh Charitable Trust provided Nadirsha with free transportation facility. They pick him up from his doorstep and drop him back. He is now able to attend school regularly. 
His father began to work without worrying about Nadirsha. This helped him settle their debts and pay to help Nadirsha grow. They still have very little money. But they are grateful for the support they receive which helps them get by.
Every small help matters to poor families who struggle to earn their daily wages. You can ease their burdens by giving to make healthcare more accessible to their children. You can give with confidence because every program on our platform is GIVEASSURED.
","With a mission to provide rehabilitation measures, Adarsh Foundation was started in the year 1998 in Kerala and is currently under the chairmanship of Shri. K P Padmakumar. Its dedication to its mission helped identify hundreds of children with disabilities from their birth.  The foundation has 3 centers with 15 physiotherapists and 18 special educators. Apart from that, it caters to about 55% children who are below 3 years and fall below the poverty line. Adarsh foundation has a full-time staff, special educators, and physiotherapists who work with equal dedication in taking the foundation closer to its mission day by day.  It has gone beyond in reaching out to those who need their support and help. Till date, with the support from the foundation, more than 200 children have been able to sculpt their way into the mainstream. Adarsh foundation has a staunch belief that rehabilitation is possible and disability can be specifically identified and treated with appropriate therapy and training. This makes it an institute of excellence in the rehabilitation of children with challenges.... Read more"
"7","Help rural children get access to nursery education by Amar Seva Sangam","education","Your support could help a child build their dreams.
Balasateesh is a chronically ill child who belongs to a poor family. His father repairs cycles to earn their living expenses. He is not able to earn nearly enough money to look after their needs and most of what he earns goes into his wife’s treatment.
While struggling to put food on the table, Sateesh’s education felt like a luxury that his father could not afford. But Sateesh was his only hope and he wanted to do whatever he could for his son. He wanted Sateesh to study at any cost so that he could lead a better life someday. He approached Amar Seva Sangam hoping with a request to help his son.
The organization found a donor who wanted to support Sateesh’s education. With this support, Satheesh now attends school regularly. He is in UKG and loves going to school. He is a quick learner and a joy to be around! 
Satheer’s parents feel proud when they hear him recite his rhymes and lessons. Despite all their suffering, they can now believe that there is a different life that lies ahead for their son. They look forward to watching him progress with his schooling and build a good future for himself. 
Every child deserves to dream and you could help make that difference for a poor kid. Give a child like Sateesh a chance to build the future they wish for. You can give with confidence because every program on our platform is GIVEASSURED.
","Amar Seva Sangram was established to help differently-abled and underprivileged children. Their mission is to empower disabled citizens by rehabilitating them and integrating them into mainstream society. They have a home for rehabilitated physically challenged people that provides free shelter, food, clothing, medical aid, and appliances. Around 50 children with loco-motor disability and associated problems are attended to and provided with special medical care. The school for specially-abled children, Sangamam, provides free education. In Village-based rehabilitation, differently abled people, as well as communities, are involved in the rehabilitation process. They are organized into Self Help Groups for their development and get access to different government schemes. Early Intervention Center aims to intervene as early as possible and minimize disability so that the child can reach the highest potential. They cater to the needs of the children under 5 years. 30 Special children have been served so far, out of which 8 have been mainstreamed. Amar Foundation is a trust, with a mission to generate employment for the rural poor and handicapped. They have 65 employees of which around 25 are specially-abled. Sri S. Ramakrishnan, the founder was awarded the Amazing Indians Award for his extraordinary work and selfless devotion.... Read more"
"8","Educate poor children in an integrated school by Amar Seva Sangam","education","Every monthly donation helps more children like Mala go to school
Having lost her father at a very young age, 6-year-old Mala belonged to a single parent family. Her mother rolled beedis to eke a living. With a very low-income, she found it very hard to make ends meet. She did not have enough resources to provide her child with a quality education.
 She then approached Amar Seva Sangam. Mala was admitted to the Siva Saraswathi Vidyalaya (SSV) run by Amar Seva Sangam. She was given free education, uniforms, study materials and personal attention.
 Mala is now in Class 5. She works hard and usually stands first in class. She has a lot of dreams that she aims to achieve. Give children like Mala a chance to achieve their dreams.
","Amar Seva Sangram was established to help differently-abled and underprivileged children. Their mission is to empower disabled citizens by rehabilitating them and integrating them into mainstream society. They have a home for rehabilitated physically challenged people that provides free shelter, food, clothing, medical aid, and appliances. Around 50 children with loco-motor disability and associated problems are attended to and provided with special medical care. The school for specially-abled children, Sangamam, provides free education. In Village-based rehabilitation, differently abled people, as well as communities, are involved in the rehabilitation process. They are organized into Self Help Groups for their development and get access to different government schemes. Early Intervention Center aims to intervene as early as possible and minimize disability so that the child can reach the highest potential. They cater to the needs of the children under 5 years. 30 Special children have been served so far, out of which 8 have been mainstreamed. Amar Foundation is a trust, with a mission to generate employment for the rural poor and handicapped. They have 65 employees of which around 25 are specially-abled. Sri S. Ramakrishnan, the founder was awarded the Amazing Indians Award for his extraordinary work and selfless devotion.... Read more"
"9","Gift a hearing aid to a hearing impaired child by Ashray Akruti","differently abled","A donor like you gave Satish the power to hear!
Satish is an 11-year-old boy from a poor family in Hyderabad. His father is a farmer and the only earning member of the family. Satish was born with a hearing problem but his family did not have the knowledge or money to get him the help he needed. 
He was identified by the NGO Ashray Akruti to receive support. They helped his parents understand the need of hearing aid. They taught them how being able to hear would also improve his speech and language skills and was a necessity for Satish to grow. 
Ashray Akruti then provided him with a good hearing aid. They also gave him speech and audio therapy. Soon Satish started to frame small sentences and speak. He now goes to school, learns and enjoys his life like any other child. 
","Ashray Akruti is a registered non-profit, non-religious organization and also is member of the World Hearing Forum which is recognized by World Health Organization (WHO); working since 1996, to improve the lives of children with disabilities from marginalized sections of society. The organization strongly believes in the potential of persons with disabilities and envisions a society where people with disabilities lead a life of dignity as equal citizens with equitable access to opportunities and services.Ashray Akruti offers quality education, health care, and sustainable livelihoods to people with disabilities and underprivileged. We also equip special education and rehabilitation services for children with disabilities and provide ear and hearing screening, diagnosis, and management through outreach programs for children and adults. Residential facility is also provided to children who come from other states and outside Hyderabad. Ashray Akruti is reaching out to the vulnerable section of the society by providing groceries and other consumable goods and commodities.Akruti is an accredited organization certified by “Credibility Alliance”, following norms of accountability, transparency, and good governance. It is empanelled with the National CSR hub of the Tata Institute of Social Sciences.Ashray Akruti was awarded as the Best NGO in Hyderabad by Government of Telangana on 1st June 2016. Ashray Akruti received ""The Best Institution"" State Award for its services in the disability sector in the year 2017. Ashray Akruti received Transparency award from GuideStar India.We render quality services and protect the rights and dignity of the hearing-impaired.... Read more"
"10","Educate a poor hearing impaired child by Ashray Akruti","differently abled","Every monthly donation helps to educate hearing-impaired children like Revathy
Revathi did not show signs of speech as a child. Her illiterate parents ignored till she was six. When they finally took her to the Government Hospital, she was confirmed to be hearing impaired.
 Being daily wage earners with no stable source of income, her parents were devastated and worried about her future. They did not have the means to support her needs. They were then referred to Ashray Akruti and approached the school for admission, where she was enrolled in 2015.
 With Ashray Akruti taking care of her education and speech therapy, Revathi's parents are grateful for the support. Being physically challenged as well as poor is a double curse, but with a little help the children can be trained to be self reliant.
","Ashray Akruti is a registered non-profit, non-religious organization and also is member of the World Hearing Forum which is recognized by World Health Organization (WHO); working since 1996, to improve the lives of children with disabilities from marginalized sections of society. The organization strongly believes in the potential of persons with disabilities and envisions a society where people with disabilities lead a life of dignity as equal citizens with equitable access to opportunities and services.Ashray Akruti offers quality education, health care, and sustainable livelihoods to people with disabilities and underprivileged. We also equip special education and rehabilitation services for children with disabilities and provide ear and hearing screening, diagnosis, and management through outreach programs for children and adults. Residential facility is also provided to children who come from other states and outside Hyderabad. Ashray Akruti is reaching out to the vulnerable section of the society by providing groceries and other consumable goods and commodities.Akruti is an accredited organization certified by “Credibility Alliance”, following norms of accountability, transparency, and good governance. It is empanelled with the National CSR hub of the Tata Institute of Social Sciences.Ashray Akruti was awarded as the Best NGO in Hyderabad by Government of Telangana on 1st June 2016. Ashray Akruti received ""The Best Institution"" State Award for its services in the disability sector in the year 2017. Ashray Akruti received Transparency award from GuideStar India.We render quality services and protect the rights and dignity of the hearing-impaired.... Read more"
